Method,Instance,N,Optimal_K,Euristich_K,Q,Cost,Optimal_Value,Optimality_Gap(%),Optimality_K_Gap(%),Processing_Time(s)
My-Euristich,XML100_1312_06,100,20,25.0,5,41504.0,27661.0,50.05,25.0,0.005491
My-Euristich,XML100_3212_26,100,20,25.0,5,64791.0,41998.0,54.27,25.0,0.006106
My-Euristich,XML100_1112_10,100,20,25.0,5,37528.0,25194.0,48.96,25.0,0.005419
My-Euristich,XML100_1112_14,100,20,25.0,5,35500.0,26274.0,35.11,25.0,0.005214
My-Euristich,XML100_1112_15,100,20,25.0,5,37223.0,24272.0,53.36,25.0,0.005154
My-Euristich,XML100_1112_25,100,20,25.0,5,33091.0,22054.0,50.05,25.0,0.005199
My-Euristich,XML100_1112_23,100,20,25.0,5,38524.0,24503.0,57.22,25.0,0.005272
My-Euristich,XML100_1112_04,100,20,25.0,5,32156.0,20461.0,57.16,25.0,0.005289
My-Euristich,XML100_2112_18,100,20,25.0,5,37231.0,20628.0,80.49,25.0,0.005472
My-Euristich,XML100_2112_17,100,20,25.0,5,38088.0,20222.0,88.35,25.0,0.005441
My-Euristich,XML100_1312_11,100,20,25.0,5,32426.0,22022.0,47.24,25.0,0.00542
My-Euristich,XML100_1112_27,100,20,25.0,5,34734.0,20487.0,69.54,25.0,0.005275
My-Euristich,XML100_1212_01,100,20,25.0,5,39010.0,28888.0,35.04,25.0,0.005622
My-Euristich,XML100_1212_15,100,20,25.0,5,32943.0,24324.0,35.43,25.0,0.005283
My-Euristich,XML100_1212_21,100,20,25.0,5,37462.0,28624.0,30.88,25.0,0.005602
My-Euristich,XML100_1212_18,100,20,25.0,5,41716.0,29104.0,43.33,25.0,0.005286
My-Euristich,XML100_1312_24,100,20,25.0,5,43701.0,29193.0,49.7,25.0,0.005383
My-Euristich,XML100_1312_01,100,20,25.0,5,33288.0,21993.0,51.36,25.0,0.005293
My-Euristich,XML100_3212_14,100,20,25.0,5,60296.0,44615.0,35.15,25.0,0.005425
My-Euristich,XML100_3112_04,100,20,25.0,5,47500.0,35923.0,32.23,25.0,0.005603
My-Euristich,XML100_3112_19,100,20,25.0,5,48805.0,34386.0,41.93,25.0,0.005739
My-Euristich,XML100_3112_22,100,20,25.0,5,50180.0,35914.0,39.72,25.0,0.00527
My-Euristich,XML100_3112_07,100,20,25.0,5,50771.0,35829.0,41.7,25.0,0.005305
My-Euristich,XML100_3112_06,100,20,25.0,5,50858.0,35411.0,43.62,25.0,0.006858
My-Euristich,XML100_1212_22,100,20,25.0,5,28098.0,20012.0,40.41,25.0,0.005283
My-Euristich,XML100_3112_03,100,20,25.0,5,52044.0,36590.0,42.24,25.0,0.005277
My-Euristich,XML100_1116_06,100,4,5.0,25,14388.0,10099.0,42.47,25.0,0.002009
My-Euristich,XML100_2212_17,100,20,25.0,5,35311.0,19588.0,80.27,25.0,0.005359
My-Euristich,XML100_2212_16,100,20,25.0,5,32962.0,20527.0,60.58,25.0,0.00563
My-Euristich,XML100_2212_11,100,20,25.0,5,28821.0,18991.0,51.76,25.0,0.005424
My-Euristich,XML100_1312_08,100,20,25.0,5,30778.0,18883.0,62.99,25.0,0.005619
My-Euristich,XML100_2212_02,100,20,25.0,5,19756.0,14241.0,38.73,25.0,0.005399
My-Euristich,XML100_1312_03,100,20,25.0,5,42840.0,29350.0,45.96,25.0,0.00541
My-Euristich,XML100_1312_04,100,20,25.0,5,44655.0,32513.0,37.35,25.0,0.005711
My-Euristich,XML100_2212_18,100,20,25.0,5,27908.0,17604.0,58.53,25.0,0.005632
My-Euristich,XML100_1312_26,100,20,25.0,5,28232.0,17760.0,58.96,25.0,0.005406
My-Euristich,XML100_2212_09,100,20,25.0,5,29267.0,18233.0,60.52,25.0,0.00547
My-Euristich,XML100_3212_06,100,20,25.0,5,42153.0,32242.0,30.74,25.0,0.005385
My-Euristich,XML100_3212_02,100,20,25.0,5,33229.0,25575.0,29.93,25.0,0.005405
My-Euristich,XML100_1316_19,100,4,5.0,25,14208.0,9257.0,53.48,25.0,0.002057
My-Euristich,XML100_1312_05,100,20,25.0,5,43276.0,30655.0,41.17,25.0,0.005384
My-Euristich,XML100_3212_25,100,20,25.0,5,44518.0,29597.0,50.41,25.0,0.005574
My-Euristich,XML100_3312_13,100,20,25.0,5,39490.0,28776.0,37.23,25.0,0.005264
My-Euristich,XML100_3316_14,100,4,5.0,25,14039.0,10237.0,37.14,25.0,0.002046
My-Euristich,XML100_3312_12,100,20,25.0,5,49292.0,35631.0,38.34,25.0,0.005397
My-Euristich,XML100_3312_08,100,20,25.0,5,45674.0,33466.0,36.48,25.0,0.005346
My-Euristich,XML100_3312_04,100,20,25.0,5,45952.0,32707.0,40.5,25.0,0.005643
My-Euristich,XML100_3312_15,100,20,25.0,5,51989.0,37741.0,37.75,25.0,0.005393
My-Euristich,XML100_3312_21,100,20,25.0,5,44863.0,32269.0,39.03,25.0,0.005769
My-Euristich,XML100_1316_09,100,4,5.0,25,14547.0,9389.0,54.94,25.0,0.001989
My-Euristich,XML100_3312_23,100,20,25.0,5,41709.0,29733.0,40.28,25.0,0.009976
My-Euristich,XML100_1212_12,100,20,25.0,5,24544.0,16094.0,52.5,25.0,0.0059
My-Euristich,XML100_3112_01,100,20,25.0,5,44623.0,32869.0,35.76,25.0,0.005505
My-Euristich,XML100_2216_01,100,4,5.0,25,10016.0,6380.0,56.99,25.0,0.002084
My-Euristich,XML100_2212_21,100,20,25.0,5,28706.0,18028.0,59.23,25.0,0.005562
My-Euristich,XML100_2212_22,100,20,25.0,5,30111.0,19527.0,54.2,25.0,0.005429
