Method,Instance,N,K,Q,Cost,Optimal_Value,Optimality_Gap(%),Processing_Time(s)
My-Euristich,XML100_1324_26,100,0,69,None,10830.0,100.0,0.000006
My-Euristich,XML100_1324_27,100,0,71,None,11334.0,100.0,0.000014
My-Euristich,XML100_1325_01,100,0,101,None,11545.0,100.0,0.000006
My-Euristich,XML100_1325_02,100,0,91,None,10721.0,100.0,0.000006
My-Euristich,XML100_1325_03,100,0,115,None,8737.0,100.0,0.000006
My-Euristich,XML100_1325_04,100,0,93,None,13004.0,100.0,0.000032
My-Euristich,XML100_1325_05,100,0,95,None,12018.0,100.0,0.000008
My-Euristich,XML100_1325_06,100,0,120,None,11477.0,100.0,0.000006
My-Euristich,XML100_1325_07,100,0,123,None,10664.0,100.0,0.000008
My-Euristich,XML100_1325_08,100,0,106,None,9614.0,100.0,0.000015
My-Euristich,XML100_1325_09,100,0,127,None,10400.0,100.0,0.000011
My-Euristich,XML100_1325_10,100,0,132,None,8135.0,100.0,0.000014
My-Euristich,XML100_1325_11,100,0,98,None,12542.0,100.0,0.000013
My-Euristich,XML100_1325_12,100,0,119,None,9158.0,100.0,0.000009
My-Euristich,XML100_1325_13,100,0,118,None,10746.0,100.0,0.000008
My-Euristich,XML100_1325_14,100,0,118,None,8210.0,100.0,0.000006
My-Euristich,XML100_1325_15,100,0,94,None,11161.0,100.0,0.000007
My-Euristich,XML100_1325_16,100,0,131,None,9746.0,100.0,0.000007
My-Euristich,XML100_1325_17,100,0,108,None,10445.0,100.0,0.000007
My-Euristich,XML100_1325_18,100,0,95,None,10910.0,100.0,0.000009
My-Euristich,XML100_1325_19,100,0,125,None,11109.0,100.0,0.000010
My-Euristich,XML100_1325_20,100,0,102,None,10378.0,100.0,0.000007
My-Euristich,XML100_1325_21,100,0,113,None,11212.0,100.0,0.000032
My-Euristich,XML100_1325_22,100,0,141,None,11532.0,100.0,0.000007
My-Euristich,XML100_1325_23,100,0,102,None,11605.0,100.0,0.000007
My-Euristich,XML100_1325_24,100,0,106,None,10637.0,100.0,0.000006
My-Euristich,XML100_1325_25,100,0,119,None,8659.0,100.0,0.000016
